"{-3.11769145362398, -1.7999999999999992}","ArcTan[-1/2*NIntegrate[endenx[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag], -1/2*NIntegrate[endeny[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag]]","{-1/2*NIntegrate[endenx[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag], -1/2*NIntegrate[endeny[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag], -1/2*NIntegrate[endenq[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag]}",3.6,"-1/4*NIntegrate[endenq[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag]^2 - NIntegrate[endenx[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag]^2/4 - NIntegrate[endeny[x, y, -3.11769145362398, -1.7999999999999992], Element[{x, y}, Evaluate[A[-3.11769145362398, -1.7999999999999992]]], WorkingPrecision -> wp, AccuracyGoal -> ag]^2/4"
"{-2.9471734109306684, -1.6954875330010624}",0.555014,"{0.0286936291251365584`6., 0.0177907730237622288`6., -0.153512285424418498`6.}",3.4000748651549926,-0.0247059
"{-2.7787328233132156, -1.5876840775396144}",0.570776,"{0.0446162255549476417`6., 0.0286464571490065425`6., -0.3766539433280328256`6.}",3.2003276134531995,-0.144679
"{-2.6117882404163844, -1.477552581591041}",0.590594,"{0.0571166222903406541`6., 0.038291907873968212`6., -0.6874843960868672048`6.}",3.0007664761096726,-0.477363
"{-2.446818043956401, -1.3644919243738123}",0.614379,"{0.066026826667059789`6., 0.0465790879892185053`6., -1.0683597721825539253`6.}",2.8015632693037613,-1.14792
"{-2.284782004347729, -1.247265648487921}",0.63973,"{0.0715458540381301932`6., 0.0532389680271169141`6., -1.5023714488297954891`6.}",2.603055974290453,-2.26507
"{-2.1261270502885306, -1.1255049937650705}",0.670702,"{0.0732417206740639181`6., 0.0581098157551524529`6., -1.9656266346083414975`6.}",2.4056553628811255,-3.87243
"{-1.971606348504126, -0.9985458737494364}",0.707995,"{0.0708850205896176785`6., 0.0606809688070967444`6., -2.4419517586397955321`6.}",2.210051007430326,-5.97184
"{-1.822448919819804, -0.8653339058451991}",0.755407,"{0.0642314799578299747`6., 0.0604898636317812481`6., -2.9045722011004973135`6.}",2.0174545432196678,-8.44432
"{-1.6806055463335292, -0.7243775407426934}",0.817386,"{0.0530884165753408221`6., 0.0565982611659143259`6., -3.3306797418503940157`6.}",1.830070442332604,-11.0994
"{-1.5503315649798814, -0.5727273164658315}",0.916764,"{0.0371265178900239047`6., 0.0484309594591002656`6., -3.6585785039602042527`6.}",1.6527384972823502,-13.3889
"{-1.4416547955837185, -0.4051603121428373}",1.106405,"{0.0176919500818725254`6., 0.0353182376650143948`6., -3.9411650446541343674`6.}",1.497505735603445,-15.5343
"{-1.3820694304688452, -0.21544478322724622}",1.43568,"{0.0025295764371559727`6., 0.0186073957901298442`6., -4.077957699263563645`6.}",1.3987610107721453,-16.6301
"{-1.3593582306757634, -0.017483310756304264}",2.830766,"{-0.0046282034469462065`6., 0.0014867614566588368`6., -4.1505199199011406469`6.}",1.3594706563442052,-17.2268
"{-1.353163900247756, -2.6622156824078782*^-9}",-3.1415926256977,"{-0.0062894862083100994`6., -1.7542718081138553021247616925`6.*^-10, -4.1511557574815125836`6.}",1.353163900247756,-17.2321
"{-1.3531639002477558, -1.3067275200081413*^-9}",-3.14159137054,"{-0.0062894862083101711`6., -8.0697322959099801464866175138`6.*^-9, -4.1511557574815123859`6.}",1.3531639002477558,-17.2321
"{-1.3531639002477558, -1.3067274574363522*^-9}",-3.14159137054,"{-0.0062894862083101688`6., -8.06973229883732601219747948562`6.*^-9, -4.1511557574815123758`6.}",1.3531639002477558,-17.2321
